,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
0,100.0,100.0,1.0,0.01,10.0,0.01,38218.0,88.74487126,38218.0,1592.4166666666667
1,100.0,100.0,1.0,0.01,10.0,0.05,7644.0,17.74990308,7644.0,318.5
2,100.0,100.0,1.0,0.01,10.0,0.1,3822.0,8.87495154,3822.0,159.25
3,100.0,100.0,1.0,0.01,11.0,0.01,46972.0,109.07227204,46972.0,1957.1666666666667
4,100.0,100.0,1.0,0.01,11.0,0.05,9395.0,21.81584765,9395.0,391.4583333333333
5,100.0,100.0,1.0,0.01,11.0,0.1,4698.0,10.90908486,4698.0,195.75
6,100.0,100.0,1.0,0.01,12.0,0.01,60924.0,141.46979268,60924.0,2538.5
7,100.0,100.0,1.0,0.01,12.0,0.05,12185.0,28.29442295,12185.0,507.7083333333333
8,100.0,100.0,1.0,0.01,12.0,0.1,6093.0,14.14837251,6093.0,253.875
9,100.0,100.0,1.0,0.01,13.0,0.01,86611.0,201.11680477,86611.0,3608.7916666666665
10,100.0,100.0,1.0,0.01,13.0,0.05,17323.0,40.22521861,17323.0,721.7916666666666
11,100.0,100.0,1.0,0.01,13.0,0.1,8662.0,20.11377034,8662.0,360.9166666666667
12,100.0,100.0,1.0,0.01,14.0,0.01,148154.0,344.02395878,148154.0,6173.083333333333
13,100.0,100.0,1.0,0.01,14.0,0.05,29631.0,68.80525617,29631.0,1234.625
14,100.0,100.0,1.0,0.01,14.0,0.1,14816.0,34.40378912,14816.0,617.3333333333334
15,100.0,100.0,1.0,0.05,10.0,0.01,7644.0,17.74990308,7644.0,318.5
16,100.0,100.0,1.0,0.05,10.0,0.05,1529.0,3.55044503,1529.0,63.708333333333336
17,100.0,100.0,1.0,0.05,10.0,0.1,765.0,1.77638355,765.0,31.875
18,100.0,100.0,1.0,0.05,11.0,0.01,9395.0,21.81584765,9395.0,391.4583333333333
19,100.0,100.0,1.0,0.05,11.0,0.05,1879.0,4.36316953,1879.0,78.29166666666667
20,100.0,100.0,1.0,0.05,11.0,0.1,940.0,2.1827458,940.0,39.166666666666664
21,100.0,100.0,1.0,0.05,12.0,0.01,12185.0,28.29442295,12185.0,507.7083333333333
22,100.0,100.0,1.0,0.05,12.0,0.05,2437.0,5.65888459,2437.0,101.54166666666667
23,100.0,100.0,1.0,0.05,12.0,0.1,1219.0,2.83060333,1219.0,50.791666666666664
24,100.0,100.0,1.0,0.05,13.0,0.01,17323.0,40.22521861,17323.0,721.7916666666666
25,100.0,100.0,1.0,0.05,13.0,0.05,3465.0,8.04597255,3465.0,144.375
26,100.0,100.0,1.0,0.05,13.0,0.1,1733.0,4.02414731,1733.0,72.20833333333333
27,100.0,100.0,1.0,0.05,14.0,0.01,29631.0,68.80525617,29631.0,1234.625
28,100.0,100.0,1.0,0.05,14.0,0.05,5927.0,13.76290889,5927.0,246.95833333333334
29,100.0,100.0,1.0,0.05,14.0,0.1,2964.0,6.88261548,2964.0,123.5
30,100.0,100.0,1.0,0.1,10.0,0.01,3822.0,8.87495154,3822.0,159.25
31,100.0,100.0,1.0,0.1,10.0,0.05,765.0,1.77638355,765.0,31.875
32,100.0,100.0,1.0,0.1,10.0,0.1,383.0,0.88935281,383.0,15.958333333333334
33,100.0,100.0,1.0,0.1,11.0,0.01,4698.0,10.90908486,4698.0,195.75
34,100.0,100.0,1.0,0.1,11.0,0.05,940.0,2.1827458,940.0,39.166666666666664
35,100.0,100.0,1.0,0.1,11.0,0.1,470.0,1.0913729,470.0,19.583333333333332
36,100.0,100.0,1.0,0.1,12.0,0.01,6093.0,14.14837251,6093.0,253.875
37,100.0,100.0,1.0,0.1,12.0,0.05,1219.0,2.83060333,1219.0,50.791666666666664
38,100.0,100.0,1.0,0.1,12.0,0.1,610.0,1.4164627,610.0,25.416666666666668
39,100.0,100.0,1.0,0.1,13.0,0.01,8662.0,20.11377034,8662.0,360.9166666666667
40,100.0,100.0,1.0,0.1,13.0,0.05,1733.0,4.02414731,1733.0,72.20833333333333
41,100.0,100.0,1.0,0.1,13.0,0.1,867.0,2.01323469,867.0,36.125
42,100.0,100.0,1.0,0.1,14.0,0.01,14816.0,34.40378912,14816.0,617.3333333333334
43,100.0,100.0,1.0,0.1,14.0,0.05,2964.0,6.88261548,2964.0,123.5
44,100.0,100.0,1.0,0.1,14.0,0.1,1482.0,3.44130774,1482.0,61.75
45,100.0,200.0,1.0,0.01,10.0,0.01,43442.0,100.87536494,43442.0,1810.0833333333333
46,100.0,200.0,1.0,0.01,10.0,0.05,8689.0,20.17646623,8689.0,362.0416666666667
47,100.0,200.0,1.0,0.01,10.0,0.1,4345.0,10.08939415,4345.0,181.04166666666666
48,100.0,200.0,1.0,0.01,11.0,0.01,53392.0,123.97996144,53392.0,2224.6666666666665
49,100.0,200.0,1.0,0.01,11.0,0.05,10679.0,24.79738553,10679.0,444.9583333333333
50,100.0,200.0,1.0,0.01,11.0,0.1,5340.0,12.3998538,5340.0,222.5
51,100.0,200.0,1.0,0.01,12.0,0.01,69251.0,160.80566957,69251.0,2885.4583333333335
52,100.0,200.0,1.0,0.01,12.0,0.05,13851.0,32.16299157,13851.0,577.125
53,100.0,200.0,1.0,0.01,12.0,0.1,6926.0,16.08265682,6926.0,288.5833333333333
54,100.0,200.0,1.0,0.01,13.0,0.01,98449.0,228.60546943,98449.0,4102.041666666667
55,100.0,200.0,1.0,0.01,13.0,0.05,19690.0,45.7215583,19690.0,820.4166666666666
56,100.0,200.0,1.0,0.01,13.0,0.1,9845.0,22.86077915,9845.0,410.2083333333333
57,100.0,200.0,1.0,0.01,14.0,0.01,168403.0,391.04355421,168403.0,7016.791666666667
58,100.0,200.0,1.0,0.01,14.0,0.05,33681.0,78.20963967,33681.0,1403.375
59,100.0,200.0,1.0,0.01,14.0,0.1,16841.0,39.10598087,16841.0,701.7083333333334
60,100.0,200.0,1.0,0.05,10.0,0.01,8689.0,20.17646623,8689.0,362.0416666666667
61,100.0,200.0,1.0,0.05,10.0,0.05,1738.0,4.03575766,1738.0,72.41666666666667
62,100.0,200.0,1.0,0.05,10.0,0.1,869.0,2.01787883,869.0,36.208333333333336
63,100.0,200.0,1.0,0.05,11.0,0.01,10679.0,24.79738553,10679.0,444.9583333333333
64,100.0,200.0,1.0,0.05,11.0,0.05,2136.0,4.95994152,2136.0,89.0
65,100.0,200.0,1.0,0.05,11.0,0.1,1068.0,2.47997076,1068.0,44.5
66,100.0,200.0,1.0,0.05,12.0,0.01,13851.0,32.16299157,13851.0,577.125
67,100.0,200.0,1.0,0.05,12.0,0.05,2771.0,6.43445597,2771.0,115.45833333333333
68,100.0,200.0,1.0,0.05,12.0,0.1,1386.0,3.21838902,1386.0,57.75
69,100.0,200.0,1.0,0.05,13.0,0.01,19690.0,45.7215583,19690.0,820.4166666666666
70,100.0,200.0,1.0,0.05,13.0,0.05,3938.0,9.14431166,3938.0,164.08333333333334
71,100.0,200.0,1.0,0.05,13.0,0.1,1969.0,4.57215583,1969.0,82.04166666666667
72,100.0,200.0,1.0,0.05,14.0,0.01,33681.0,78.20963967,33681.0,1403.375
73,100.0,200.0,1.0,0.05,14.0,0.05,6737.0,15.64378559,6737.0,280.7083333333333
74,100.0,200.0,1.0,0.05,14.0,0.1,3369.0,7.82305383,3369.0,140.375
75,100.0,200.0,1.0,0.1,10.0,0.01,4345.0,10.08939415,4345.0,181.04166666666666
76,100.0,200.0,1.0,0.1,10.0,0.05,869.0,2.01787883,869.0,36.208333333333336
77,100.0,200.0,1.0,0.1,10.0,0.1,435.0,1.01010045,435.0,18.125
78,100.0,200.0,1.0,0.1,11.0,0.01,5340.0,12.3998538,5340.0,222.5
79,100.0,200.0,1.0,0.1,11.0,0.05,1068.0,2.47997076,1068.0,44.5
80,100.0,200.0,1.0,0.1,11.0,0.1,534.0,1.23998538,534.0,22.25
81,100.0,200.0,1.0,0.1,12.0,0.01,6926.0,16.08265682,6926.0,288.5833333333333
82,100.0,200.0,1.0,0.1,12.0,0.05,1386.0,3.21838902,1386.0,57.75
83,100.0,200.0,1.0,0.1,12.0,0.1,693.0,1.60919451,693.0,28.875
84,100.0,200.0,1.0,0.1,13.0,0.01,9845.0,22.86077915,9845.0,410.2083333333333
85,100.0,200.0,1.0,0.1,13.0,0.05,1969.0,4.57215583,1969.0,82.04166666666667
86,100.0,200.0,1.0,0.1,13.0,0.1,985.0,2.28723895,985.0,41.041666666666664
87,100.0,200.0,1.0,0.1,14.0,0.01,16841.0,39.10598087,16841.0,701.7083333333334
88,100.0,200.0,1.0,0.1,14.0,0.05,3369.0,7.82305383,3369.0,140.375
89,100.0,200.0,1.0,0.1,14.0,0.1,1685.0,3.91268795,1685.0,70.20833333333333
90,100.0,300.0,1.0,0.01,10.0,0.01,47450.0,110.1822215,47450.0,1977.0833333333333
91,100.0,300.0,1.0,0.01,10.0,0.05,9490.0,22.0364443,9490.0,395.4166666666667
92,100.0,300.0,1.0,0.01,10.0,0.1,4745.0,11.01822215,4745.0,197.70833333333334
93,100.0,300.0,1.0,0.01,11.0,0.01,58318.0,135.41847826,58318.0,2429.9166666666665
94,100.0,300.0,1.0,0.01,11.0,0.05,11664.0,27.08462448,11664.0,486.0
95,100.0,300.0,1.0,0.01,11.0,0.1,5832.0,13.54231224,5832.0,243.0
96,100.0,300.0,1.0,0.01,12.0,0.01,75640.0,175.6413748,75640.0,3151.6666666666665
97,100.0,300.0,1.0,0.01,12.0,0.05,15128.0,35.12827496,15128.0,630.3333333333334
98,100.0,300.0,1.0,0.01,12.0,0.1,7564.0,17.56413748,7564.0,315.1666666666667
99,100.0,300.0,1.0,0.01,13.0,0.01,107533.0,249.69915331,107533.0,4480.541666666667
100,100.0,300.0,1.0,0.01,13.0,0.05,21507.0,49.94075949,21507.0,896.125
101,100.0,300.0,1.0,0.01,13.0,0.1,10754.0,24.97154078,10754.0,448.0833333333333
102,100.0,300.0,1.0,0.01,14.0,0.01,183941.0,427.12387787,183941.0,7664.208333333333
103,100.0,300.0,1.0,0.01,14.0,0.05,36789.0,85.42663323,36789.0,1532.875
104,100.0,300.0,1.0,0.01,14.0,0.1,18395.0,42.71447765,18395.0,766.4583333333334
105,100.0,300.0,1.0,0.05,10.0,0.01,9490.0,22.0364443,9490.0,395.4166666666667
106,100.0,300.0,1.0,0.05,10.0,0.05,1898.0,4.40728886,1898.0,79.08333333333333
107,100.0,300.0,1.0,0.05,10.0,0.1,949.0,2.20364443,949.0,39.541666666666664
108,100.0,300.0,1.0,0.05,11.0,0.01,11664.0,27.08462448,11664.0,486.0
109,100.0,300.0,1.0,0.05,11.0,0.05,2333.0,5.41738931,2333.0,97.20833333333333
110,100.0,300.0,1.0,0.05,11.0,0.1,1167.0,2.70985569,1167.0,48.625
111,100.0,300.0,1.0,0.05,12.0,0.01,15128.0,35.12827496,15128.0,630.3333333333334
112,100.0,300.0,1.0,0.05,12.0,0.05,3026.0,7.02658382,3026.0,126.08333333333333
113,100.0,300.0,1.0,0.05,12.0,0.1,1513.0,3.51329191,1513.0,63.041666666666664
114,100.0,300.0,1.0,0.05,13.0,0.01,21507.0,49.94075949,21507.0,896.125
115,100.0,300.0,1.0,0.05,13.0,0.05,4302.0,9.98954514,4302.0,179.25
116,100.0,300.0,1.0,0.05,13.0,0.1,2151.0,4.99477257,2151.0,89.625
117,100.0,300.0,1.0,0.05,14.0,0.01,36789.0,85.42663323,36789.0,1532.875
118,100.0,300.0,1.0,0.05,14.0,0.05,7358.0,17.08579106,7358.0,306.5833333333333
119,100.0,300.0,1.0,0.05,14.0,0.1,3679.0,8.54289553,3679.0,153.29166666666666
120,100.0,300.0,1.0,0.1,10.0,0.01,4745.0,11.01822215,4745.0,197.70833333333334
121,100.0,300.0,1.0,0.1,10.0,0.05,949.0,2.20364443,949.0,39.541666666666664
122,100.0,300.0,1.0,0.1,10.0,0.1,475.0,1.10298325,475.0,19.791666666666668
123,100.0,300.0,1.0,0.1,11.0,0.01,5832.0,13.54231224,5832.0,243.0
124,100.0,300.0,1.0,0.1,11.0,0.05,1167.0,2.70985569,1167.0,48.625
125,100.0,300.0,1.0,0.1,11.0,0.1,584.0,1.35608888,584.0,24.333333333333332
126,100.0,300.0,1.0,0.1,12.0,0.01,7564.0,17.56413748,7564.0,315.1666666666667
127,100.0,300.0,1.0,0.1,12.0,0.05,1513.0,3.51329191,1513.0,63.041666666666664
128,100.0,300.0,1.0,0.1,12.0,0.1,757.0,1.75780699,757.0,31.541666666666668
129,100.0,300.0,1.0,0.1,13.0,0.01,10754.0,24.97154078,10754.0,448.0833333333333
130,100.0,300.0,1.0,0.1,13.0,0.05,2151.0,4.99477257,2151.0,89.625
131,100.0,300.0,1.0,0.1,13.0,0.1,1076.0,2.49854732,1076.0,44.833333333333336
132,100.0,300.0,1.0,0.1,14.0,0.01,18395.0,42.71447765,18395.0,766.4583333333334
133,100.0,300.0,1.0,0.1,14.0,0.05,3679.0,8.54289553,3679.0,153.29166666666666
134,100.0,300.0,1.0,0.1,14.0,0.1,1840.0,4.2726088,1840.0,76.66666666666667
135,200.0,100.0,1.0,0.01,10.0,0.01,63825.0,148.20611775,63825.0,2659.375
136,200.0,100.0,1.0,0.01,10.0,0.05,12765.0,29.64122355,12765.0,531.875
137,200.0,100.0,1.0,0.01,10.0,0.1,6383.0,14.82177281,6383.0,265.9583333333333
138,200.0,100.0,1.0,0.01,11.0,0.01,78444.0,182.15245908,78444.0,3268.5
139,200.0,100.0,1.0,0.01,11.0,0.05,15689.0,36.43095623,15689.0,653.7083333333334
140,200.0,100.0,1.0,0.01,11.0,0.1,7845.0,18.21663915,7845.0,326.875
141,200.0,100.0,1.0,0.01,12.0,0.01,101745.0,236.25901215,101745.0,4239.375
142,200.0,100.0,1.0,0.01,12.0,0.05,20349.0,47.25180243,20349.0,847.875
143,200.0,100.0,1.0,0.01,12.0,0.1,10175.0,23.62706225,10175.0,423.9583333333333
144,200.0,100.0,1.0,0.01,13.0,0.01,144643.0,335.87117101,144643.0,6026.791666666667
145,200.0,100.0,1.0,0.01,13.0,0.05,28929.0,67.17516303,28929.0,1205.375
146,200.0,100.0,1.0,0.01,13.0,0.1,14465.0,33.58874255,14465.0,602.7083333333334
147,200.0,100.0,1.0,0.01,14.0,0.01,247421.0,574.52888147,247421.0,10309.208333333334
148,200.0,100.0,1.0,0.01,14.0,0.05,49485.0,114.90763395,49485.0,2061.875
149,200.0,100.0,1.0,0.01,14.0,0.1,24743.0,57.45497801,24743.0,1030.9583333333333
150,200.0,100.0,1.0,0.05,10.0,0.01,12765.0,29.64122355,12765.0,531.875
151,200.0,100.0,1.0,0.05,10.0,0.05,2553.0,5.92824471,2553.0,106.375
152,200.0,100.0,1.0,0.05,10.0,0.1,1277.0,2.96528339,1277.0,53.208333333333336
153,200.0,100.0,1.0,0.05,11.0,0.01,15689.0,36.43095623,15689.0,653.7083333333334
154,200.0,100.0,1.0,0.05,11.0,0.05,3138.0,7.28665566,3138.0,130.75
155,200.0,100.0,1.0,0.05,11.0,0.1,1569.0,3.64332783,1569.0,65.375
156,200.0,100.0,1.0,0.05,12.0,0.01,20349.0,47.25180243,20349.0,847.875
157,200.0,100.0,1.0,0.05,12.0,0.05,4070.0,9.4508249,4070.0,169.58333333333334
158,200.0,100.0,1.0,0.05,12.0,0.1,2035.0,4.72541245,2035.0,84.79166666666667
159,200.0,100.0,1.0,0.05,13.0,0.01,28929.0,67.17516303,28929.0,1205.375
160,200.0,100.0,1.0,0.05,13.0,0.05,5786.0,13.43549702,5786.0,241.08333333333334
161,200.0,100.0,1.0,0.05,13.0,0.1,2893.0,6.71774851,2893.0,120.54166666666667
162,200.0,100.0,1.0,0.05,14.0,0.01,49485.0,114.90763395,49485.0,2061.875
163,200.0,100.0,1.0,0.05,14.0,0.05,9897.0,22.98152679,9897.0,412.375
164,200.0,100.0,1.0,0.05,14.0,0.1,4949.0,11.49192443,4949.0,206.20833333333334
165,200.0,100.0,1.0,0.1,10.0,0.01,6383.0,14.82177281,6383.0,265.9583333333333
166,200.0,100.0,1.0,0.1,10.0,0.05,1277.0,2.96528339,1277.0,53.208333333333336
167,200.0,100.0,1.0,0.1,10.0,0.1,639.0,1.48380273,639.0,26.625
168,200.0,100.0,1.0,0.1,11.0,0.01,7845.0,18.21663915,7845.0,326.875
169,200.0,100.0,1.0,0.1,11.0,0.05,1569.0,3.64332783,1569.0,65.375
170,200.0,100.0,1.0,0.1,11.0,0.1,785.0,1.82282495,785.0,32.708333333333336
171,200.0,100.0,1.0,0.1,12.0,0.01,10175.0,23.62706225,10175.0,423.9583333333333
172,200.0,100.0,1.0,0.1,12.0,0.05,2035.0,4.72541245,2035.0,84.79166666666667
173,200.0,100.0,1.0,0.1,12.0,0.1,1018.0,2.36386726,1018.0,42.416666666666664
174,200.0,100.0,1.0,0.1,13.0,0.01,14465.0,33.58874255,14465.0,602.7083333333334
175,200.0,100.0,1.0,0.1,13.0,0.05,2893.0,6.71774851,2893.0,120.54166666666667
176,200.0,100.0,1.0,0.1,13.0,0.1,1447.0,3.36003529,1447.0,60.291666666666664
177,200.0,100.0,1.0,0.1,14.0,0.01,24743.0,57.45497801,24743.0,1030.9583333333333
178,200.0,100.0,1.0,0.1,14.0,0.05,4949.0,11.49192443,4949.0,206.20833333333334
179,200.0,100.0,1.0,0.1,14.0,0.1,2475.0,5.74712325,2475.0,103.125
180,200.0,200.0,1.0,0.01,10.0,0.01,69049.0,160.33661143,69049.0,2877.0416666666665
181,200.0,200.0,1.0,0.01,10.0,0.05,13810.0,32.0677867,13810.0,575.4166666666666
182,200.0,200.0,1.0,0.01,10.0,0.1,6905.0,16.03389335,6905.0,287.7083333333333
183,200.0,200.0,1.0,0.01,11.0,0.01,84864.0,197.06014848,84864.0,3536.0
184,200.0,200.0,1.0,0.01,11.0,0.05,16973.0,39.41249411,16973.0,707.2083333333334
185,200.0,200.0,1.0,0.01,11.0,0.1,8487.0,19.70740809,8487.0,353.625
186,200.0,200.0,1.0,0.01,12.0,0.01,110071.0,255.59256697,110071.0,4586.291666666667
187,200.0,200.0,1.0,0.01,12.0,0.05,22015.0,51.12037105,22015.0,917.2916666666666
188,200.0,200.0,1.0,0.01,12.0,0.1,11008.0,25.56134656,11008.0,458.6666666666667
189,200.0,200.0,1.0,0.01,13.0,0.01,156481.0,363.35983567,156481.0,6520.041666666667
190,200.0,200.0,1.0,0.01,13.0,0.05,31297.0,72.67382479,31297.0,1304.0416666666667
191,200.0,200.0,1.0,0.01,13.0,0.1,15649.0,36.33807343,15649.0,652.0416666666666
192,200.0,200.0,1.0,0.01,14.0,0.01,267671.0,621.55079897,267671.0,11152.958333333334
193,200.0,200.0,1.0,0.01,14.0,0.05,53535.0,124.31201745,53535.0,2230.625
194,200.0,200.0,1.0,0.01,14.0,0.1,26768.0,62.15716976,26768.0,1115.3333333333333
195,200.0,200.0,1.0,0.05,10.0,0.01,13810.0,32.0677867,13810.0,575.4166666666666
196,200.0,200.0,1.0,0.05,10.0,0.05,2762.0,6.41355734,2762.0,115.08333333333333
197,200.0,200.0,1.0,0.05,10.0,0.1,1381.0,3.20677867,1381.0,57.541666666666664
198,200.0,200.0,1.0,0.05,11.0,0.01,16973.0,39.41249411,16973.0,707.2083333333334
199,200.0,200.0,1.0,0.05,11.0,0.05,3395.0,7.88342765,3395.0,141.45833333333334
200,200.0,200.0,1.0,0.05,11.0,0.1,1698.0,3.94287486,1698.0,70.75
201,200.0,200.0,1.0,0.05,12.0,0.01,22015.0,51.12037105,22015.0,917.2916666666666
202,200.0,200.0,1.0,0.05,12.0,0.05,4403.0,10.22407421,4403.0,183.45833333333334
203,200.0,200.0,1.0,0.05,12.0,0.1,2202.0,5.11319814,2202.0,91.75
