,B_VALUE,C_VALUE,BETA1,BETA2,transactions,ETH,hours,days,FinalScore
0,100.0,100.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
1,100.0,100.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
2,100.0,100.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
3,100.0,100.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
4,100.0,100.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
5,100.0,100.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
6,100.0,100.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
7,100.0,100.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
8,100.0,100.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
9,100.0,100.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
10,100.0,100.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
11,100.0,100.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
12,100.0,100.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
13,100.0,100.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
14,100.0,100.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
15,100.0,100.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
16,100.0,100.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
17,100.0,100.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
18,100.0,100.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
19,100.0,100.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
20,100.0,100.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
21,100.0,100.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
22,100.0,100.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
23,100.0,100.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
24,100.0,100.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
25,100.0,100.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
26,100.0,100.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.24814048950054235
27,100.0,200.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
28,100.0,200.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
29,100.0,200.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
30,100.0,200.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
31,100.0,200.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
32,100.0,200.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
33,100.0,200.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
34,100.0,200.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
35,100.0,200.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
36,100.0,200.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
37,100.0,200.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
38,100.0,200.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
39,100.0,200.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
40,100.0,200.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
41,100.0,200.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
42,100.0,200.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
43,100.0,200.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
44,100.0,200.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
45,100.0,200.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
46,100.0,200.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
47,100.0,200.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
48,100.0,200.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
49,100.0,200.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
50,100.0,200.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
51,100.0,200.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
52,100.0,200.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
53,100.0,200.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.49262285116628557
54,100.0,300.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
55,100.0,300.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
56,100.0,300.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
57,100.0,300.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
58,100.0,300.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
59,100.0,300.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
60,100.0,300.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
61,100.0,300.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
62,100.0,300.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
63,100.0,300.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
64,100.0,300.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
65,100.0,300.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
66,100.0,300.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
67,100.0,300.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
68,100.0,300.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
69,100.0,300.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
70,100.0,300.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
71,100.0,300.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
72,100.0,300.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
73,100.0,300.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
74,100.0,300.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
75,100.0,300.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
76,100.0,300.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
77,100.0,300.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
78,100.0,300.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
79,100.0,300.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
80,100.0,300.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.7335360917853417
81,200.0,100.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
82,200.0,100.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
83,200.0,100.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
84,200.0,100.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
85,200.0,100.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
86,200.0,100.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
87,200.0,100.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
88,200.0,100.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
89,200.0,100.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
90,200.0,100.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
91,200.0,100.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
92,200.0,100.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
93,200.0,100.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
94,200.0,100.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
95,200.0,100.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
96,200.0,100.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
97,200.0,100.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
98,200.0,100.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
99,200.0,100.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
100,200.0,100.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
101,200.0,100.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
102,200.0,100.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
103,200.0,100.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
104,200.0,100.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
105,200.0,100.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
106,200.0,100.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
107,200.0,100.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.06238305610776762
108,200.0,200.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
109,200.0,200.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
110,200.0,200.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
111,200.0,200.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
112,200.0,200.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
113,200.0,200.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
114,200.0,200.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
115,200.0,200.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
116,200.0,200.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
117,200.0,200.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
118,200.0,200.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
119,200.0,200.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
120,200.0,200.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
121,200.0,200.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
122,200.0,200.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
123,200.0,200.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
124,200.0,200.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
125,200.0,200.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
126,200.0,200.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
127,200.0,200.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
128,200.0,200.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
129,200.0,200.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
130,200.0,200.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
131,200.0,200.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
132,200.0,200.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
133,200.0,200.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
134,200.0,200.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.12453319461835366
135,200.0,300.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
136,200.0,300.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
137,200.0,300.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
138,200.0,300.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
139,200.0,300.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
140,200.0,300.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
141,200.0,300.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
142,200.0,300.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
143,200.0,300.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
144,200.0,300.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
145,200.0,300.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
146,200.0,300.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
147,200.0,300.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
148,200.0,300.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
149,200.0,300.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
150,200.0,300.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
151,200.0,300.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
152,200.0,300.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
153,200.0,300.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
154,200.0,300.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
155,200.0,300.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
156,200.0,300.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
157,200.0,300.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
158,200.0,300.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
159,200.0,300.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
160,200.0,300.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
161,200.0,300.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.1864518613282129
162,300.0,100.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
163,300.0,100.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
164,300.0,100.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
165,300.0,100.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
166,300.0,100.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
167,300.0,100.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
168,300.0,100.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
169,300.0,100.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
170,300.0,100.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
171,300.0,100.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
172,300.0,100.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
173,300.0,100.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
174,300.0,100.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
175,300.0,100.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
176,300.0,100.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
177,300.0,100.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
178,300.0,100.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
179,300.0,100.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
180,300.0,100.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
181,300.0,100.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
182,300.0,100.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
183,300.0,100.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
184,300.0,100.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
185,300.0,100.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
186,300.0,100.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
187,300.0,100.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
188,300.0,100.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.02775465104228325
189,300.0,200.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
190,300.0,200.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
191,300.0,200.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
192,300.0,200.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
193,300.0,200.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
194,300.0,200.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
195,300.0,200.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
196,300.0,200.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
197,300.0,200.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
198,300.0,200.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
199,300.0,200.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
200,300.0,200.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
201,300.0,200.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
202,300.0,200.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
203,300.0,200.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
204,300.0,200.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
205,300.0,200.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
206,300.0,200.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
207,300.0,200.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
208,300.0,200.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
209,300.0,200.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
210,300.0,200.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
211,300.0,200.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
212,300.0,200.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
213,300.0,200.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
214,300.0,200.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
215,300.0,200.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.05546313409798831
216,300.0,300.0,0.95,100.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
217,300.0,300.0,0.95,200.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
218,300.0,300.0,0.95,300.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
219,300.0,300.0,0.95,400.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
220,300.0,300.0,0.95,500.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
221,300.0,300.0,0.95,600.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
222,300.0,300.0,0.95,700.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
223,300.0,300.0,0.95,800.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
224,300.0,300.0,0.95,900.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
225,300.0,300.0,1.0,100.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
226,300.0,300.0,1.0,200.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
227,300.0,300.0,1.0,300.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
228,300.0,300.0,1.0,400.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
229,300.0,300.0,1.0,500.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
230,300.0,300.0,1.0,600.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
231,300.0,300.0,1.0,700.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
232,300.0,300.0,1.0,800.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
233,300.0,300.0,1.0,900.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
234,300.0,300.0,0.01,100.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
235,300.0,300.0,0.01,200.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
236,300.0,300.0,0.01,300.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
237,300.0,300.0,0.01,400.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
238,300.0,300.0,0.01,500.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
239,300.0,300.0,0.01,600.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
240,300.0,300.0,0.01,700.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
241,300.0,300.0,0.01,800.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
242,300.0,300.0,0.01,900.0,10000.0,23.2207,240000.0,10000.0,0.08312557702086498
